gap,latency,+-
-0.35,171.375,1.505940617307715
-0.3,176.375,6.501373481262029
-0.25,175.125,2.03100960115899
-0.2,176.375,3.925648263117098
-0.15,174.375,3.77728171346236
-0.11,174.375,5.040904113917888
-0.07000000000000001,159.125,0.6408699444616557
-0.03,127,0
0,108.75,0.4629100498862757
0.04999999999999999,91.875,0.6408699444616557
0.08999999999999997,75.5,1.309307341415954
0.11,73.625,1.922609833384967
0.15,70.625,1.302470180629319
0.19,70.375,1.407885953173359
0.3,70.625,0.7440238091428449
