TargX,Latency,+-
-19,108.1666666666667,2.081665999466133
-18,106.6,1.07496769977314
-17,104.5833333333333,1.083624669450832
-16,104,1.61245154965971
-15,103.75,0.8660254037844386
-14,103.5833333333333,0.9003366373785199
-13,101.9166666666667,1.083624669450832
-12,98.33333333333331,0.7784989441615229
-11,95.41666666666669,0.792961461098759
-10,94.08333333333331,0.6685579234215214
-9,93.58333333333331,0.6685579234215214
-8,94.25,0.621581560508061
-7,96.75,0.8660254037844386
-6,100.5454545454546,0.8201995322647244
