x,CopeChambersModel,Exp1,Exp2,Exp3
-508.69,383.975,376.986,372.976,290.762
-496.42,386.835,381.553,369.883,288.639
-405.09,392.293,401.7,353.273,294.281
-400.86,392.144,401.582,353.095,294.846
-400.78,392.141,401.579,353.092,294.857
-391.69,391.829,400.956,352.953,296.066
-351.02,391.767,393.552,355.783,300.73
-305.62,393.644,380.484,362.826,301.089
-303.51,393.556,379.882,363.197,300.833
-299.1,393.264,378.675,363.967,300.178
-286.94,391.597,375.784,366.022,297.501
-255.89,382.073,373.648,368.856,286.26
-250.43,379.792,373.95,368.391,284.319
-245.11,377.447,374.258,367.392,282.871
-238,374.145,374.594,365.131,282.077
-205.46,356.743,372.233,350.148,286.536
-204,355.877,371.87,349.595,286.613
-199.62,353.223,370.587,348.069,286.714
-195.09,350.412,368.961,346.716,286.667
-157.1,325.385,343.237,340.05,285.345
-150.97,321.415,337.278,338.962,285.926
-147.75,319.376,334.047,338.314,286.613
-137.58,313.077,323.709,335.727,291.702
-108.26,295.58,299.524,320.891,289.609
-100.16,290.732,295.76,314.725,286.613
-100.15,290.73,295.759,314.722,286.612
-88.67,283.756,291.848,304.837,281.828
-56.9,264.919,275.574,273.806,267.189
-49.34,260.793,267.264,265.967,263.561
-36.34,254.152,250.033,252.266,257.265
1.48,235.346,211.68,213.642,238.866
2.54,234.772,211.022,212.683,238.355
10.84,230.064,206.509,205.635,234.373
50.12,198.673,193.805,183.398,216.611
50.62,198.14,193.698,183.187,216.409
53.74,194.711,193.044,181.874,215.169
99.83,142.541,185.381,169.127,212.968
100.36,142.086,185.29,169.111,213.109
101.7,140.969,185.056,169.088,213.404
103.53,139.51,184.726,169.102,213.695
146.46,120.82,172.361,179.498,211.097
148.06,120.442,171.79,179.957,210.987
149.57,120.088,171.261,180.314,210.898
153.47,119.183,169.968,180.453,210.744
158.48,118.045,168.514,180.092,210.707
198.48,110.302,163.823,182.769,212.637
200.49,109.996,163.804,182.619,212.697
202.27,109.733,163.797,182.468,212.744
207.98,108.94,163.839,181.886,212.869
250.28,104.947,165.897,176.004,212.931
297.84,102.62,169.534,171.914,211.77
299.22,102.571,169.642,171.906,211.718
302.13,102.47,169.87,171.917,211.603
303.39,102.427,169.968,171.934,211.552
350.73,101.086,173.08,176.418,209.416
396.27,99.997,173.486,178.399,208.777
399.49,99.922,173.36,178.091,208.851
400.52,99.898,173.315,177.976,208.878
401.52,99.875,173.269,177.858,208.907
497.96,97.434,166.664,154.986,214.764
499.64,97.386,166.668,154.741,214.846
504.4,97.247,166.73,154.141,215.061
597.48,94.121,177.225,165.968,215.887
602.85,93.918,178.091,167.408,215.841
605.01,93.836,178.439,167.988,215.824
